InvoiceNo,SKU,Quantity,InvoiceDate,Country
556089,84997a,1,20/06/2021,NA_Ireland
556106,21577,1,20/06/2021,14056_Ireland
556491,22231,4,24/06/2021,16794_Ireland
556502,22637,4,25/06/2021,13761_Ireland
558096,22795,2,08/07/2021,15532_Ireland
558197,20996,96,09/07/2021,14298_Ireland
558777,22663,1,16/07/2021,NA_Ireland
558777,20719,1,16/07/2021,NA_Ireland
559200,22795,1,19/07/2021,13291_Ireland
560553,21232,12,31/07/2021,13991_Ireland
560731,22141,6,01/08/2021,16149_Ireland
560772,84536B,30,01/08/2021,NA_Ireland
560926,90114,2,03/08/2021,NA_Ireland
561080,23345,2,05/08/2021,NA_Ireland
561367,20719,10,07/08/2021,NA_Ireland
561394,23175,8,08/08/2021,17315_Ireland
562021,20719,10,13/08/2021,16172_Ireland
562199,22663,2,15/08/2021,12748_Ireland
562269,23345,1,15/08/2021,14056_Ireland
562269,23236C,2,15/08/2021,14056_Ireland
562313,23323,6,16/08/2021,14640_Ireland
562381,22637,8,16/08/2021,16873_Ireland
562460,20996,10,17/08/2021,17841_Ireland
562543,23236C,6,17/08/2021,13552_Ireland
562565,85131B,3,19/08/2021,16206_Ireland
562571,21259,2,19/08/2021,13782_Ireland
563100,23345,12,24/08/2021,12381_Ireland
563549,21232,3,29/08/2021,NA_Ireland
563565,21380,2,29/08/2021,17338_Ireland
564356,21672,2,05/09/2021,13969_Ireland
564378,90001D,2,06/09/2021,12417_Ireland
564510,37340,48,06/09/2021,14194_Ireland
564643,23242,2,07/09/2021,15356_Ireland
564648,20996,24,07/09/2021,15641_Ireland
564732,22141,5,09/09/2021,16466_Ireland
564754,84559A,1,11/09/2021,NA_Ireland
564755,90214M,1,11/09/2021,NA_Ireland
564757,85131B,2,11/09/2021,NA_Ireland
564760,20719,3,11/09/2021,NA_Ireland
564818,20719,1,11/09/2021,NA_Ireland
564835,22677,1,11/09/2021,NA_Ireland
564841,21672,17,11/09/2021,NA_Ireland
564841,20719,21,11/09/2021,NA_Ireland
564850,21098,10,11/09/2021,17298_Ireland
564857,22089,8,12/09/2021,NA_Ireland
564975,21135,2,12/09/2021,17097_Ireland
564995,23323,1,12/09/2021,16780_Ireland
565149,20996,24,13/09/2021,14414_Ireland
565210,22231,6,13/09/2021,17750_Ireland
565248,21135,8,14/09/2021,15860_Ireland
565289,21380,6,14/09/2021,14911_Ireland
565329,22795,1,14/09/2021,14606_Ireland
565381,82486,2,14/09/2021,16173_Ireland
565384,22794,2,14/09/2021,13507_Ireland
565796,22663,10,19/09/2021,14916_Ireland
565841,23376,1,19/09/2021,NA_Ireland
566013,22633,48,20/09/2021,17004_Ireland
566060,20719,5,20/09/2021,NA_Ireland
567099,21380,1,28/09/2021,15311_Ireland
567124,23240,6,28/09/2021,15240_Ireland
567528,23175,4,03/10/2021,14356_Ireland
568346,22141,1,08/10/2021,14096_Ireland
568392,20996,24,09/10/2021,14272_Ireland
569015,23435,10,12/10/2021,13575_Ireland
569239,23175,4,15/10/2021,14644_Ireland
569372,23345,2,15/10/2021,NA_Ireland
569799,22141,6,18/10/2021,13602_Ireland
570126,21340,1,19/10/2021,16910_Ireland
570806,21259,4,24/10/2021,13115_Ireland
571273,23240,6,28/10/2021,13034_Ireland
571283,22794,1,28/10/2021,16533_Ireland
571293,21340,1,28/10/2021,13956_Ireland
571305,21232,1,29/10/2021,NA_Ireland
572023,22633,1,01/11/2021,17764_Ireland
572283,22089,2,04/11/2021,15000_Ireland
572442,22141,6,05/11/2021,12546_Ireland
572513,21259,1,05/11/2021,16728_Ireland
572520,23435,10,05/11/2021,13165_Ireland
572540,21115,1,05/11/2021,NA_Ireland
572540,21232,3,05/11/2021,NA_Ireland
572549,85131B,1,05/11/2021,NA_Ireland
572552,84536B,3,05/11/2021,14096_Ireland
572703,22633,1,06/11/2021,16110_Ireland
572762,21672,12,07/11/2021,15240_Ireland
572854,21098,10,07/11/2021,14096_Ireland
572858,22141,4,07/11/2021,13571_Ireland
572866,20719,6,07/11/2021,15005_Ireland
572905,23323,2,07/11/2021,14690_Ireland
573032,21263,1,08/11/2021,18211_Ireland
573154,22619,12,09/11/2021,NA_Ireland
573288,22637,4,09/11/2021,14194_Ireland
573485,20719,10,12/11/2021,15752_Ireland
573501,82486,2,12/11/2021,18055_Ireland
573585,46776b,1,12/11/2021,NA_Ireland
574074,22141,1,14/11/2021,NA_Ireland
574561,20719,3,16/11/2021,NA_Ireland
574701,21135,2,18/11/2021,15426_Ireland
574856,22141,2,19/11/2021,NA_Ireland
574965,22633,1,20/11/2021,17964_Ireland
575135,21135,8,20/11/2021,13928_Ireland
575512,22141,6,22/11/2021,14121_Ireland
575735,23435,10,23/11/2021,14156_Ireland
575739,23345,1,23/11/2021,NA_Ireland
575856,90114,2,23/11/2021,16386_Ireland
575867,23323,4,23/11/2021,15034_Ireland
575875,85131B,2,23/11/2021,NA_Ireland
575875,37340,6,23/11/2021,NA_Ireland
575917,22141,6,23/11/2021,13895_Ireland
575930,22693,2,23/11/2021,NA_Ireland
575986,22619,4,25/11/2021,13018_Ireland
576069,82486,2,25/11/2021,13603_Ireland
576074,22633,12,25/11/2021,13178_Ireland
576365,22633,59,26/11/2021,NA_Ireland
576447,22619,4,27/11/2021,13949_Ireland
576573,85034B,24,27/11/2021,16600_Ireland
576840,22619,6,28/11/2021,NA_Ireland
576865,21098,1,28/11/2021,12748_Ireland
576916,22633,12,29/11/2021,14655_Ireland
577030,21263,12,29/11/2021,14060_Ireland
577077,85034B,3,29/11/2021,17799_Ireland
577158,22633,12,30/11/2021,16293_Ireland
577258,22619,1,30/11/2021,16764_Ireland
577746,22619,4,03/12/2021,15274_Ireland
578088,21098,2,04/12/2021,16376_Ireland
578103,22693,24,05/12/2021,17554_Ireland
578548,21098,1,06/12/2021,17345_Ireland
578666,23240,6,06/12/2021,17727_Ireland
578846,23345,3,07/12/2021,17757_Ireland
578856,23376,8,09/12/2021,17769_Ireland
578926,22141,2,09/12/2021,18156_Ireland
578950,22663,1,09/12/2021,17885_Ireland
579099,23424,1,10/12/2021,15714_Ireland
579196,84559A,1,10/12/2021,14096_Ireland
579572,22663,10,12/12/2021,15394_Ireland
580385,22633,2,16/12/2021,16326_Ireland
580554,22619,80,17/12/2021,17402_Ireland
580729,22633,1,17/12/2021,NA_Ireland
581015,21115,8,19/12/2021,13949_Ireland
536846,22141,1,14/01/2022,14573_Ireland
536865,21259,1,15/01/2022,NA_Ireland
536876,84661B,1,15/01/2022,NA_Ireland
537126,22141,1,17/01/2022,18118_Ireland
537237,21098,23,18/01/2022,NA_Ireland
537240,21272,1,18/01/2022,NA_Ireland
537393,22633,48,18/01/2022,13089_Ireland
537403,22633,3,18/01/2022,17191_Ireland
537465,22633,12,19/01/2022,17735_Ireland
537624,21098,1,19/01/2022,12748_Ireland
537823,21232,7,20/01/2022,NA_Ireland
538174,21232,36,22/01/2022,12471_Ireland
538636,21672,12,25/01/2022,14639_Ireland
538877,21672,1,26/01/2022,NA_Ireland
538888,84673B,3,26/01/2022,17912_Ireland
538968,21232,12,27/01/2022,15384_Ireland
539009,84751B,2,27/01/2022,13221_Ireland
539019,22693,24,27/01/2022,17551_Ireland
539250,85034B,12,28/01/2022,15157_Ireland
539317,22089,1,28/01/2022,17392_Ireland
544101,22619,4,28/02/2021,16378_European Community
540238,85034B,1,17/01/2021,NA_Finland
540801,21340,8,23/01/2021,12540_Finland
540817,22794,2,23/01/2021,14209_Finland
540851,21232,12,24/01/2021,12523_Finland
540940,21259,2,24/01/2021,18109_Finland
540968,21577,3,24/01/2021,17338_Finland
545988,20719,10,20/03/2021,12662_Finland
546973,22663,1,30/03/2021,NA_Finland
547253,22260,5,03/04/2021,13869_Finland
548164,37340,1,10/04/2021,NA_Finland
549311,21232,12,20/04/2021,14924_Finland
558371,21232,29,10/07/2021,NA_Finland
561036,23236C,2,05/08/2021,13137_Finland
562264,22677,1,15/08/2021,NA_Finland
566164,21232,13,21/09/2021,NA_Finland
566164,20719,32,21/09/2021,NA_Finland
567183,23240,2,30/09/2021,14769_Finland
568048,23175,4,05/10/2021,14911_Finland
574478,23077,20,16/11/2021,17203_Finland
574547,22794,1,16/11/2021,17841_Finland
578305,21259,20,05/12/2021,14088_Finland
581146,23240,1,19/12/2021,17602_Finland
539501,21232,8,01/01/2021,17085_France
540014,20996,9,16/01/2021,14606_France
540021,20996,1,16/01/2021,17841_France
540247,21272,2,17/01/2021,15464_France
540260,21259,4,18/01/2021,13097_France
540265,22619,4,18/01/2021,15271_France
540273,84536B,32,18/01/2021,17368_France
540277,21232,72,18/01/2021,14258_France
540349,21380,6,18/01/2021,15379_France
540362,21672,1,18/01/2021,13656_France
540364,21272,3,18/01/2021,14505_France
540455,20719,20,19/01/2021,12583_France
540458,10125,20,19/01/2021,12501_France
540469,22693,24,19/01/2021,12484_France
540516,22231,1,21/01/2021,16326_France
540526,21340,1,21/01/2021,14606_France
540546,21232,12,21/01/2021,12766_France
540553,22858,48,22/01/2021,12500_France
540595,10125,20,22/01/2021,14321_France
540635,22677,10,22/01/2021,14229_France
540691,21272,12,23/01/2021,17450_France
540769,21135,8,23/01/2021,12601_France
540832,22089,1,23/01/2021,NA_France
540848,10125,5,24/01/2021,NA_France
540943,21781,1,24/01/2021,17841_France
541088,22693,96,25/01/2021,15513_France
541110,21340,2,25/01/2021,15916_France
541217,22619,20,26/01/2021,17402_France
541220,22896,100,26/01/2021,14156_France
541238,21115,1,28/01/2021,16746_France
541256,22637,2,28/01/2021,13048_France
541258,22795,3,28/01/2021,13634_France
541267,21232,12,29/01/2021,12779_France
541274,21672,12,29/01/2021,15696_France
541277,22619,4,29/01/2021,12673_France
541362,21672,12,29/01/2021,17730_France
541518,20719,40,31/01/2021,12451_France
541793,20719,10,02/02/2021,13969_France
541847,22858,6,04/02/2021,15443_France
541991,21672,36,06/02/2021,12417_France
542347,20719,10,08/02/2021,12826_France
542779,22858,12,13/02/2021,17147_France
542806,22795,2,13/02/2021,12836_France
542887,20719,20,13/02/2021,12373_France
542890,22089,4,13/02/2021,15311_France
542890,22637,2,13/02/2021,15311_France
542890,21380,2,13/02/2021,15311_France
542898,22795,1,13/02/2021,16110_France
543022,21259,2,14/02/2021,16771_France
543036,46000M,2,14/02/2021,17223_France
543044,21232,12,15/02/2021,17071_France
543044,20719,10,15/02/2021,17071_France
543286,22932,24,19/02/2021,14952_France
543354,22858,6,19/02/2021,13458_France
543359,22794,1,19/02/2021,16332_France
543369,22795,2,19/02/2021,16255_France
543371,21232,2,19/02/2021,14048_France
543454,22795,1,20/02/2021,14527_France
543518,21259,24,21/02/2021,12753_France
543541,21232,12,21/02/2021,12462_France
543586,22619,4,22/02/2021,15809_France
543596,21781,2,22/02/2021,14898_France
543619,22858,12,22/02/2021,16842_France
543653,21232,16,23/02/2021,14796_France
543736,22794,3,23/02/2021,15044_France
543748,90057,48,23/02/2021,12913_France
543814,22089,6,25/02/2021,15640_France
543821,22795,2,26/02/2021,17667_France
543828,21781,4,26/02/2021,14156_France
543828,22795,6,26/02/2021,14156_France
543934,22858,6,26/02/2021,12993_France
543975,84849B,2,26/02/2021,17231_France
543978,20719,6,26/02/2021,12867_France
543982,22081,10,27/02/2021,15358_France
544036,22795,2,27/02/2021,17315_France
544064,22794,1,27/02/2021,17114_France
544101,21115,2,28/02/2021,16378_France
544190,46000M,12,28/02/2021,13089_France
544195,21232,12,01/03/2021,13305_France
544283,21672,96,01/03/2021,13668_France
544286,21781,2,01/03/2021,13151_France
544292,20719,10,01/03/2021,16745_France
544391,21259,2,02/03/2021,15755_France
544460,21272,3,04/03/2021,16931_France
544461,21672,6,04/03/2021,13744_France
544462,20996,4,04/03/2021,17050_France
544472,22858,6,05/03/2021,15129_France
544672,20719,100,06/03/2021,14646_France
544687,17084N,25,06/03/2021,13184_France
544791,22693,24,07/03/2021,14289_France
544794,21340,8,07/03/2021,13854_France
544795,22858,2,07/03/2021,15858_France
544808,21272,5,07/03/2021,14562_France
544823,21672,12,08/03/2021,14004_France
544824,22932,6,08/03/2021,17139_France
544893,21672,24,08/03/2021,17865_France
544915,21232,24,08/03/2021,13777_France
544943,21672,12,09/03/2021,15845_France
545043,22794,2,11/03/2021,16407_France
545056,20719,100,11/03/2021,16745_France
545057,22089,6,11/03/2021,13630_France
545081,22637,4,12/03/2021,16057_France
545188,22089,2,12/03/2021,14056_France
545227,84673B,24,13/03/2021,12428_France
545300,21340,1,13/03/2021,15092_France
545345,22794,2,14/03/2021,14180_France
545399,22858,6,14/03/2021,14934_France
545419,21259,2,14/03/2021,15104_France
545468,46000M,17,15/03/2021,16571_France
545477,21781,1,15/03/2021,14573_France
545536,22794,2,15/03/2021,12417_France
545662,23194,8,16/03/2021,15358_France
545687,20719,2,18/03/2021,17769_France
545688,22637,2,18/03/2021,16033_France
545701,22633,4,18/03/2021,17107_France
545702,21135,8,18/03/2021,14247_France
545713,22089,1,19/03/2021,NA_France
545826,22637,4,19/03/2021,17696_France
545874,21380,4,19/03/2021,12841_France
545901,22663,1,19/03/2021,15834_France
545901,21115,1,19/03/2021,15834_France
546096,21340,2,21/03/2021,15502_France
546117,22260,6,21/03/2021,16771_France
546117,21232,4,21/03/2021,16771_France
546122,21380,2,21/03/2021,15581_France
546123,21340,8,21/03/2021,16419_France
546158,22089,6,22/03/2021,13899_France
546160,22663,100,22/03/2021,15838_France
546417,23009,2,25/03/2021,14800_France
546425,21380,12,25/03/2021,16983_France
546430,21135,8,25/03/2021,15918_France
546498,84849B,4,26/03/2021,15493_France
546509,21259,4,26/03/2021,14911_France
546528,21672,96,26/03/2021,15311_France
546580,21380,12,27/03/2021,14911_France
546624,21259,2,27/03/2021,14193_France
546670,35810B,3,27/03/2021,13451_France
546678,20719,10,27/03/2021,12681_France
546738,21380,24,28/03/2021,16422_France
546861,20996,24,29/03/2021,14911_France
546950,84997A,2,30/03/2021,16511_France
546979,21380,6,30/03/2021,16256_France
546986,21232,12,30/03/2021,14194_France
546995,84536B,16,30/03/2021,14041_France
547002,22693,24,30/03/2021,12878_France
547061,84536B,16,01/04/2021,12407_France
547063,46000M,4,01/04/2021,14769_France
547063,21135,8,01/04/2021,14769_France
547202,21672,1,02/04/2021,17841_France
547205,21232,12,02/04/2021,16558_France
547240,22858,1,02/04/2021,17585_France
547250,21340,2,03/04/2021,NA_France
547413,22794,2,04/04/2021,13475_France
547498,22633,1,04/04/2021,15021_France
547666,22677,10,05/04/2021,14235_France
547669,15030,5,05/04/2021,12748_France
547669,21364,1,05/04/2021,12748_France
547670,21672,1,05/04/2021,16769_France
547708,21259,192,05/04/2021,17450_France
547730,21232,20,06/04/2021,14796_France
547789,22858,6,06/04/2021,14911_France
547793,21380,6,06/04/2021,14758_France
547871,22081,1,08/04/2021,16931_France
547881,22231,1,08/04/2021,13110_France
547888,21232,12,09/04/2021,13368_France
547891,10125,20,09/04/2021,13266_France
547967,90114,1,09/04/2021,NA_France
548157,22663,60,10/04/2021,14298_France
548176,22637,1,10/04/2021,13439_France
548212,84997A,6,11/04/2021,12456_France
548234,20719,10,11/04/2021,17594_France
548338,22693,24,11/04/2021,16558_France
548405,21259,2,12/04/2021,17088_France
548409,10125,40,12/04/2021,12731_France
548468,21664,2,12/04/2021,14818_France
548501,23077,20,12/04/2021,15894_France
548501,84536B,18,12/04/2021,15894_France
548512,22858,2,12/04/2021,14410_France
548520,21232,12,12/04/2021,13126_France
548618,22619,4,13/04/2021,15197_France
548668,21259,2,13/04/2021,16162_France
548743,21259,2,16/04/2021,14895_France
548780,21115,2,16/04/2021,13294_France
548864,22858,1,16/04/2021,15756_France
548864,21577,1,16/04/2021,15756_France
548871,22858,12,16/04/2021,14410_France
548968,84997A,12,17/04/2021,12744_France
548987,84997A,2,17/04/2021,14535_France
549118,22081,10,18/04/2021,14911_France
549281,22693,24,19/04/2021,17735_France
549294,22858,3,19/04/2021,13230_France
549556,22858,1,22/04/2021,17372_France
549588,22089,6,23/04/2021,12428_France
549958,23077,20,25/04/2021,17589_France
549988,23077,20,25/04/2021,14367_France
549988,22693,24,25/04/2021,14367_France
550193,84536B,16,27/04/2021,13952_France
550274,10125,20,27/04/2021,15498_France
550284,84997A,4,27/04/2021,12383_France
550316,22637,4,29/04/2021,16193_France
550328,22693,48,29/04/2021,17582_France
550408,22663,10,30/04/2021,16746_France
550836,22619,4,03/05/2021,14759_France
550899,22637,4,03/05/2021,13505_France
550915,22089,2,03/05/2021,13263_France
550941,22089,2,03/05/2021,17109_France
550941,21135,6,03/05/2021,17109_France
550992,21135,8,03/05/2021,14512_France
550994,22260,1,03/05/2021,14562_France
551152,21476,1,08/05/2021,13230_France
551247,22089,12,09/05/2021,15640_France
551315,21272,12,09/05/2021,17725_France
551396,21340,1,10/05/2021,17720_France
551531,84926F,12,13/05/2021,15376_France
551616,84673B,1,15/05/2021,15048_France
551693,21232,12,15/05/2021,15582_France
551721,21272,2,15/05/2021,14711_France
551727,21577,6,16/05/2021,14245_France
551857,22794,2,16/05/2021,13037_France
551987,22663,2,17/05/2021,15005_France
552051,21232,20,18/05/2021,14796_France
552054,22693,24,18/05/2021,15062_France
552065,46000M,6,18/05/2021,16729_France
552169,21380,12,18/05/2021,17800_France
552281,22619,2,20/05/2021,15704_France
552282,21259,3,20/05/2021,14040_France
552290,84536B,4,20/05/2021,16007_France
552308,22619,4,20/05/2021,17410_France
552318,90036A,1,20/05/2021,17231_France
552319,21232,12,21/05/2021,13003_France
552364,21232,12,21/05/2021,13004_France
552445,21340,8,21/05/2021,16839_France
552469,22663,2,21/05/2021,12867_France
552508,85131B,1,21/05/2021,NA_France
552554,22932,1,22/05/2021,12843_France
552661,23175,8,22/05/2021,14051_France
552677,22089,1,22/05/2021,NA_France
552820,22619,4,23/05/2021,16644_France
552883,21672,96,24/05/2021,14646_France
552988,23175,6,24/05/2021,14853_France
553061,23009,1,25/05/2021,17238_France
553074,84536B,6,25/05/2021,15529_France
553189,21380,3,27/05/2021,15033_France
553199,21577,2,27/05/2021,17758_France
553345,23077,20,28/05/2021,16729_France
553377,20719,10,28/05/2021,14888_France
553390,20719,2,28/05/2021,17841_France
553678,22932,3,30/05/2021,14009_France
553691,22637,1,30/05/2021,15311_France
553691,21115,1,30/05/2021,15311_France
553831,21340,4,31/05/2021,14442_France
553832,22637,4,31/05/2021,12957_France
553878,22795,4,31/05/2021,14733_France
553946,21232,12,01/06/2021,15601_France
554069,21340,1,03/06/2021,15281_France
554069,23175,4,03/06/2021,15281_France
554098,22619,1,03/06/2021,14769_France
554105,21577,2,03/06/2021,14711_France
554114,21259,2,03/06/2021,15292_France
554117,10125,1,03/06/2021,13758_France
554132,22693,24,04/06/2021,12360_France
554160,20719,2,04/06/2021,17841_France
554515,21340,1,05/06/2021,15042_France
554628,22663,10,06/06/2021,15039_France
554648,22637,4,06/06/2021,12562_France
554658,22693,24,06/06/2021,12839_France
554812,21232,4,07/06/2021,15005_France
554855,85034B,4,08/06/2021,15172_France
554950,22663,10,08/06/2021,14227_France
554950,23175,4,08/06/2021,14227_France
554987,22795,1,10/06/2021,14823_France
554991,22795,1,10/06/2021,14823_France
554993,21232,4,10/06/2021,17051_France
554999,21476,2,10/06/2021,15547_France
555096,23175,4,12/06/2021,12682_France
555109,23175,4,12/06/2021,16023_France
555164,23175,72,13/06/2021,14646_France
555199,21781,1,13/06/2021,14606_France
555368,21781,1,14/06/2021,13437_France
555383,21272,4,14/06/2021,12517_France
555414,20719,10,15/06/2021,16230_France
555477,23175,6,15/06/2021,12359_France
555488,20719,2,15/06/2021,16942_France
555499,22089,1,15/06/2021,15812_France
555537,21115,1,17/06/2021,15453_France
555540,23077,40,17/06/2021,13668_France
555558,20719,2,17/06/2021,14159_France
555565,20719,10,17/06/2021,15298_France
555568,23077,40,17/06/2021,17589_France
555568,22693,24,17/06/2021,17589_France
555573,23077,20,17/06/2021,15349_France
555574,23175,4,17/06/2021,12417_France
555587,22795,2,18/06/2021,15687_France
555593,21232,12,18/06/2021,16298_France
555644,23077,20,18/06/2021,16520_France
555648,22641,2,18/06/2021,14623_France
555691,23175,4,18/06/2021,12843_France
555739,20719,10,19/06/2021,12380_France
555819,22677,10,19/06/2021,15073_France
555835,23175,4,19/06/2021,14525_France
555846,22795,2,19/06/2021,14180_France
555849,20996,24,19/06/2021,13266_France
555851,22795,1,19/06/2021,13050_France
555851,22794,1,19/06/2021,13050_France
555924,85131B,5,19/06/2021,NA_France
555931,84661B,6,20/06/2021,17828_France
555932,21115,2,20/06/2021,14217_France
555947,22089,40,20/06/2021,14911_France
556056,21380,1,20/06/2021,17841_France
556067,21135,1,20/06/2021,12748_France
556106,23242,3,20/06/2021,14056_France
556189,20719,10,21/06/2021,15615_France
556193,16054,36,21/06/2021,14132_France
556244,46000M,12,21/06/2021,15867_France
556330,23242,2,22/06/2021,17797_France
556437,23236C,2,22/06/2021,14077_France
556444,22502,60,22/06/2021,15098_France
556472,21781,1,24/06/2021,16633_France
556482,22619,4,24/06/2021,17242_France
556484,84997A,2,24/06/2021,16938_France
556484,22795,1,24/06/2021,16938_France
556501,23236C,6,25/06/2021,16700_France
556509,23242,6,25/06/2021,12708_France
556578,21672,12,25/06/2021,12472_France
556629,23175,4,25/06/2021,14841_France
556636,23175,1,25/06/2021,NA_France
556732,22795,1,26/06/2021,15039_France
556740,22663,4,26/06/2021,17346_France
556777,22795,2,26/06/2021,14426_France
556779,22089,2,26/06/2021,16774_France
556792,84673B,1,26/06/2021,17043_France
556914,20719,10,27/06/2021,12877_France
556917,23009,12,27/06/2021,12415_France
557006,20719,20,28/06/2021,14282_France
557007,22693,24,28/06/2021,12484_France
557013,23236C,6,28/06/2021,15044_France
557013,23175,2,28/06/2021,15044_France
557117,23175,4,28/06/2021,14849_France
557263,20719,100,01/07/2021,14646_France
557308,21135,2,01/07/2021,16744_France
557617,21781,5,03/07/2021,14543_France
557621,23175,4,03/07/2021,12444_France
557626,20932,12,03/07/2021,14175_France
557628,21115,1,03/07/2021,15311_France
557632,23242,6,03/07/2021,17420_France
557750,20719,10,04/07/2021,16841_France
557758,21232,4,04/07/2021,17585_France
557758,21672,6,04/07/2021,17585_France
557770,20996,24,04/07/2021,14643_France
557789,23236C,6,04/07/2021,12379_France
557797,22081,10,05/07/2021,12919_France
557854,22693,48,05/07/2021,13268_France
557858,20719,2,05/07/2021,14159_France
557881,22693,24,05/07/2021,14401_France
557886,21380,2,05/07/2021,17799_France
557957,23242,2,05/07/2021,13969_France
557974,84997A,10,06/07/2021,14541_France
558028,21232,12,06/07/2021,15128_France
558084,20996,24,08/07/2021,14837_France
558117,84997a,1,09/07/2021,NA_France
558123,22795,2,09/07/2021,15834_France
558271,23236C,6,10/07/2021,13895_France
558367,21672,6,10/07/2021,16550_France
558386,20719,10,11/07/2021,14883_France
558432,17084N,25,11/07/2021,17730_France
558441,21781,1,11/07/2021,14606_France
558533,22794,2,12/07/2021,16717_France
558540,22637,6,12/07/2021,17706_France
558540,23175,6,12/07/2021,17706_France
558614,21577,8,12/07/2021,NA_France
558614,21380,1,12/07/2021,NA_France
558620,21259,1,12/07/2021,15584_France
558705,21380,1,13/07/2021,12748_France
558877,22677,1,16/07/2021,17841_France
558877,46000R,1,16/07/2021,17841_France
558906,84536B,3,16/07/2021,15555_France
558906,22231,10,16/07/2021,15555_France
558963,22677,10,17/07/2021,14235_France
559004,23236C,12,17/07/2021,12428_France
559124,23175,4,18/07/2021,14621_France
559128,20719,3,18/07/2021,17238_France
559132,84673B,1,18/07/2021,15053_France
559132,23077,20,18/07/2021,15053_France
559133,23077,20,18/07/2021,17861_France
559133,23009,1,18/07/2021,17861_France
559133,23242,22,18/07/2021,17861_France
559144,84997A,8,18/07/2021,12921_France
559162,84536B,4,18/07/2021,NA_France
559163,20719,1,18/07/2021,NA_France
559302,21628,1,19/07/2021,14527_France
559358,16054,36,19/07/2021,15675_France
559509,17038,1,20/07/2021,15920_France
559537,21232,4,22/07/2021,14472_France
559550,22677,1,22/07/2021,17757_France
559557,22619,4,23/07/2021,17444_France
559629,84997A,1,23/07/2021,14690_France
559668,20996,24,23/07/2021,13394_France
559672,21232,12,23/07/2021,14796_France
559794,22619,4,24/07/2021,16700_France
559865,21380,24,25/07/2021,14409_France
559894,22663,2,25/07/2021,14159_France
559894,20719,3,25/07/2021,14159_France
559921,15030,5,25/07/2021,13667_France
559979,16054,36,26/07/2021,14862_France
559984,10125,5,26/07/2021,16657_France
560036,21259,2,26/07/2021,14911_France
560078,22693,24,26/07/2021,16040_France
560101,22693,24,26/07/2021,14891_France
560103,22637,4,26/07/2021,17837_France
560120,22141,6,27/07/2021,14907_France
560180,21340,4,27/07/2021,14640_France
560209,46000M,6,27/07/2021,15004_France
560225,46776B,2,27/07/2021,NA_France
560234,22663,30,29/07/2021,16180_France
560285,22637,4,30/07/2021,14944_France
560523,21672,36,31/07/2021,15462_France
560545,21232,12,31/07/2021,12569_France
560711,21259,1,01/08/2021,17841_France
560713,22089,1,01/08/2021,16774_France
560856,22619,8,02/08/2021,16607_France
560930,20996,24,03/08/2021,15829_France
560942,22663,2,03/08/2021,15005_France
561020,21476,1,03/08/2021,13563_France
561029,20719,10,05/08/2021,12490_France
561043,22795,2,05/08/2021,15708_France
561050,22231,12,05/08/2021,16558_France
561092,21232,12,06/08/2021,17054_France
561114,21232,12,06/08/2021,14775_France
561221,21259,2,07/08/2021,15281_France
561363,84997A,3,07/08/2021,17238_France
561388,22637,48,08/08/2021,12753_France
561485,46000M,2,08/08/2021,17841_France
561519,23242,1,08/08/2021,17870_France
561610,22619,4,09/08/2021,16076_France
561618,22141,12,09/08/2021,18172_France
561626,22795,1,09/08/2021,14898_France
561647,23236C,48,09/08/2021,13340_France
561693,37340,48,10/08/2021,15120_France
561715,23345,12,10/08/2021,13102_France
561869,21380,2,12/08/2021,16764_France
561883,23242,6,12/08/2021,13388_France
561884,22693,24,12/08/2021,15453_France
561891,22795,1,12/08/2021,15438_France
561893,23236C,1,12/08/2021,12942_France
561899,22637,12,12/08/2021,17173_France
562002,22795,12,13/08/2021,14567_France
562085,23345,12,14/08/2021,15228_France
562101,20719,10,14/08/2021,13850_France
562102,21672,12,14/08/2021,13089_France
562143,23077,200,15/08/2021,16422_France
562214,23236C,6,15/08/2021,17731_France
562345,21232,72,16/08/2021,13694_France
562420,85131B,1,16/08/2021,NA_France
562444,20719,3,16/08/2021,14713_France
562517,84673B,1,17/08/2021,15719_France
562517,22663,2,17/08/2021,15719_France
562560,23242,6,17/08/2021,14156_France
562564,20719,10,19/08/2021,15058_France
562593,22089,3,19/08/2021,16549_France
562600,21380,12,20/08/2021,12676_France
562607,23175,4,20/08/2021,12885_France
562688,84536B,1,20/08/2021,13869_France
562727,22619,4,21/08/2021,15601_France
562772,23242,2,21/08/2021,13097_France
562779,46000M,2,21/08/2021,17841_France
562781,22795,2,21/08/2021,14334_France
562878,22231,1,22/08/2021,16241_France
562980,21672,12,23/08/2021,17686_France
563022,84673B,4,23/08/2021,17248_France
563076,22663,100,23/08/2021,14646_France
563104,21340,2,24/08/2021,13888_France
563174,20719,10,24/08/2021,16746_France
563191,22141,12,24/08/2021,16678_France
563214,22637,2,26/08/2021,16370_France
563300,22089,6,27/08/2021,16774_France
563348,22677,10,27/08/2021,13078_France
563352,22795,2,27/08/2021,15706_France
563404,22663,20,28/08/2021,16303_France
563434,22693,24,28/08/2021,14057_France
563555,23077,20,29/08/2021,16755_France
563564,21380,6,29/08/2021,16633_France
563565,15030,2,29/08/2021,17338_France
563565,23242,3,29/08/2021,17338_France
563572,23077,40,29/08/2021,16734_France
563753,20719,10,31/08/2021,12513_France
563836,21135,8,31/08/2021,15938_France
563849,21232,12,31/08/2021,14772_France
